HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
03 16    0.047    0.076    0.141  999.000  999.000    0.074    0.041    0.061    0.034    0.051    0.050    0.213   4
03 17    0.051    0.066    0.058  999.000  999.000    0.099    0.055    0.069    0.030    0.048    0.038    0.143   4
03 18    0.068    0.087    0.069  999.000  999.000    0.064    0.069    0.067    0.038    0.097    0.056    0.198   4
03 19    0.060    0.088    0.124  999.000  999.000    0.072    0.031    0.045    0.032    0.133    0.060    0.242   4
03 20    0.037    0.094    0.128  999.000  999.000    0.090    0.045    0.047    0.015    0.040    0.057    0.164   4
03 21    0.038    0.100    0.112  999.000  999.000    0.077    0.052    0.061    0.017    0.023    0.053    0.185   4
03 22    0.045    0.106    0.101  999.000  999.000    0.098    0.066    0.074    0.016    0.026    0.045    0.299   4
03 23    0.046    0.091    0.106  999.000  999.000    0.159    0.071    0.054    0.025    0.032    0.048    0.245   4
03 24    0.044    0.081    0.074  999.000  999.000    0.165    0.071    0.039    0.027    0.037    0.030    0.236   4
03 25    0.051    0.082    0.068  999.000  999.000    0.190    0.085    0.048    0.021    0.049    0.026    0.119   4
03 26    0.056    0.072    0.082  999.000  999.000    0.185    0.080    0.079    0.025    0.042    0.030    0.108   4
03 27    0.039    0.107    0.090  999.000  999.000    0.166    0.044    0.059    0.018    0.035    0.047    0.283   4
03 28    0.039    0.066    0.119  999.000  999.000    0.083    0.048    0.045    0.015    0.048    0.035    0.251   4
03 29    0.070    0.063    0.182  999.000  999.000    0.104    0.092    0.063    0.031    0.093    0.069    0.263   4
03 30    0.102    0.064    0.128  999.000  999.000    0.120    0.137    0.056    0.063    0.152    0.043    0.289   4
03 31    0.092    0.125    0.139  999.000  999.000    0.116    0.093    0.055    0.037    0.182    0.040    0.257   4
03 32    0.044    0.127    0.155  999.000  999.000    0.088    0.075    0.027    0.028    0.046    0.072    0.323   4
03 33    0.070    0.074    0.062  999.000  999.000    0.108    0.055    0.024    0.044    0.142    0.045    0.274   3
03 34    0.066    0.096    0.066  999.000  999.000    0.152    0.092    0.032    0.046    0.120    0.080    0.356   3
03 35    0.030    0.053    0.055  999.000  999.000    0.170    0.069    0.036    0.019    0.034    0.044    0.153   3
03 36    0.032    0.061    0.082  999.000  999.000    0.085    0.036    0.039    0.012    0.043    0.054    0.134   3
03 37    0.043    0.108    0.141  999.000  999.000    0.073    0.050    0.058    0.030    0.041    0.071    0.262   3
03 38    0.030    0.068    0.106  999.000  999.000    0.071    0.039    0.045    0.025    0.019    0.051    0.173   3
03 39    0.032    0.041    0.099  999.000  999.000    0.077    0.032    0.051    0.021    0.025    0.032    0.077   3
03 40    0.049    0.056    0.055  999.000  999.000    0.064    0.039    0.055    0.026    0.066    0.044    0.141   3
03 41    0.049    0.056    0.027  999.000  999.000    0.103    0.044    0.034    0.029    0.085    0.049    0.186   3
03 42    0.068    0.050    0.027  999.000  999.000    0.145    0.064    0.026    0.024    0.154    0.037    0.174   3
03 43    0.076    0.030    0.068  999.000  999.000    0.120    0.070    0.032    0.027    0.168    0.037    0.107   3
03 44    0.053    0.040    0.077  999.000  999.000    0.100    0.090    0.052    0.044    0.064    0.051    0.119   3
03 45    0.055    0.088    0.125  999.000  999.000    0.105    0.114    0.048    0.046    0.072    0.046    0.127   3
03 46    0.055    0.110    0.114  999.000  999.000    0.143    0.121    0.064    0.052    0.050    0.053    0.101   3
03 47    0.040    0.085    0.078  999.000  999.000    0.085    0.121    0.056    0.034    0.031    0.040    0.139   3
03 48    0.040    0.113    0.086  999.000  999.000    0.104    0.082    0.052    0.022    0.046    0.036    0.285   3
03 49    0.048    0.066    0.096  999.000  999.000    0.111    0.068    0.049    0.034    0.061    0.041    0.204   3
03 50    0.055    0.090    0.094  999.000  999.000    0.103    0.106    0.058    0.046    0.060    0.048    0.233   3
03 51    0.056    0.105    0.052  999.000  999.000    0.100    0.165    0.048    0.047    0.073    0.040    0.426   3
03 52    0.046    0.064    0.083  999.000  999.000    0.083    0.193    0.055    0.026    0.056    0.054    0.380   3
03 53    0.041    0.068    0.122  999.000  999.000    0.154    0.136    0.043    0.017    0.062    0.046    0.156   3
03 54    0.060    0.078    0.127  999.000  999.000    0.150    0.060    0.037    0.026    0.117    0.040    0.282   3
03 55    0.066    0.101    0.155  999.000  999.000    0.094    0.055    0.042    0.016    0.139    0.053    0.241   3
03 56    0.041    0.110    0.118  999.000  999.000    0.150    0.051    0.048    0.025    0.050    0.056    0.269   3
03 57    0.038    0.056    0.111  999.000  999.000    0.077    0.052    0.045    0.026    0.044    0.040    0.257   3
